Data Planejada;Qtd. Planejada;Descrição;Grupo
12/mai;3.100;PRINCESAS;Aro12
12/mai;400;PRINCESAS;Aro12
12/mai;2.900;FLOWER;Aro12
13/mai;3.300;FLOWER;Aro12
14/mai;800;FLOWER;Aro12
14/mai;2.500;VELOZ;Aro12
15/mai;3.300;VELOZ;Aro12
16/mai;1.200;VELOZ;Aro12
16/mai;2.100;MECHANIC - roda m 12 ;Aro12
19/mai;1.400;MECHANIC - roda m 12 ;Aro12
19/mai;1.750;MINNIE;Aro12
19/mai;150;MICKEY;Aro12
20/mai;1.600;MICKEY;Aro12
20/mai;1.700;BLACK;Aro12
21/mai;3.300;BLACK;Aro12
22/mai;200;BLACK;Aro12
22/mai;1.800;INFANTI PT/VERDE;Aro12
22/mai;1.300;HOT WHEELS;Aro12
23/mai;1.300;HOT WHEELS;Aro12
23/mai;2.000;PETS;Aro12
26/mai;1.800;INFANTI RS/VD;Aro12
26/mai;1.500;CHARM;Aro12
27/mai;3.300;SPIDER MAN;Aro12
28/mai;3.300;FLOWER;Aro12
29/mai;3.300;FLOWER;Aro12
30/mai;3.300;FIREMAN;Aro12
08/mai;43;MASCULINA;Aro14
09/mai;50;MASCULINA;Aro14
12/mai;27;MASCULINA;Aro14
12/mai;23;MASCULINA 4;Aro14
13/mai;50;MASCULINA 4;Aro14
14/mai;50;MASCULINA 4;Aro14
15/mai;50;MASCULINA 4;Aro14
16/mai;50;MASCULINA 4;Aro14
19/mai;50;MASCULINA 4;Aro14
20/mai;50;UNICORN;Aro14
21/mai;50;UNICORN;Aro14
22/mai;50;UNICORN;Aro14
23/mai;50;UNICORN;Aro14
26/mai;50;UNICORN;Aro14
27/mai;50;UNICORN;Aro14
28/mai;50;UNICORN;Aro14
29/mai;50;UNICORN;Aro14
30/mai;50;UNICORN;Aro14
08/mai;478;SPIDER MAN;Aro16
09/mai;660;SPIDER MAN;Aro16
12/mai;660;APOLLO;Aro16
13/mai;660;TECH BOYS;Aro16
14/mai;660;TECH BOYS;Aro16
15/mai;660;HOT WHEELS;Aro16
16/mai;245;EXTREME;Aro16
16/mai;415;INFANTI LARANJA;Aro16
19/mai;415;INFANTI ROSA;Aro16
19/mai;245;TOP GIRLS;Aro16
20/mai;660;LADY;Aro16
21/mai;660;HOT WHEELS;Aro16
22/mai;660;UNICORN NATHOR;Aro16
23/mai;660;PRINCESAS;Aro16
26/mai;660;BARBIE;Aro16
27/mai;250;BTWIN AMARELA;Aro16
27/mai;250;BTWIN PRATA/VERMELHA;Aro16
28/mai;50;BTWIN PRATA/VERMELHA;Aro16
28/mai;100;DARK;Aro16
28/mai;350;HOMEM DE FERRO;Aro16
29/mai;415;GTS FEMININA;Aro16
29/mai;245;GTS MASCULINA;Aro16
30/mai;170;GTS MASCULINA;Aro16
30/mai;490;CAPITAO AMERICA;Aro16
09/mai;146;APOLLO;Aro 20
12/mai;150;HOT WHEELS;Aro 20
13/mai;50;HOT WHEELS;Aro 20
13/mai;100;BOLT;Aro 20
14/mai;100;BOLT;Aro 20
14/mai;50;BELLA;Aro 20
15/mai;150;BELLA;Aro 20
16/mai;150;BELLA;Aro 20
19/mai;150;BARBIE;Aro 20
20/mai;50;BARBIE;Aro 20
20/mai;100;LOVELY;Aro 20
21/mai;120;ANTONELLA ROSA;Aro 20
22/mai;100;ORIGINAL 500;Aro 20
23/mai;150;ORIGINAL 120 ROSA;Aro 20
26/mai;150;ORIGINAL 120 ROSA;Aro 20
27/mai;150;BARBIE;Aro 20
28/mai;150;MISTGIRL;Aro 20
29/mai;50;MISTGIRL;Aro 20
29/mai;100;HOT WHEELS;Aro 20
30/mai;100;HOT WHEELS;Aro 20
30/mai;50;RACING BOYS;Aro 20
08/mai;4;VERDE AQUA;Aro 26
09/mai;5;VERDE AQUA;Aro 26
12/mai;5;VERDE AQUA;Aro 26
13/mai;5;VERDE AQUA;Aro 26
14/mai;5;ROSA;Aro 26
15/mai;5;ROSA;Aro 26
16/mai;25;RAIADA 900 AMARELO;Aro 26
19/mai;25;RAIADA LARANJA;Aro 26
20/mai;25;RAIADA LARANJA;Aro 26
21/mai;25;RAIADA LARANJA;Aro 26
22/mai;25;RAIADA LILAS;Aro 26
23/mai;25;RAIADA LILAS;Aro 26
26/mai;25;RAIADA ROSA;Aro 26
27/mai;25;RAIADA ROSA;Aro 26
28/mai;25;RAIADA AZUL;Aro 26
29/mai;25;RAIADA AZUL;Aro 26
30/mai;5;PEROLA;Aro 26
30/mai;68;MASCULINA;Balance
09/mai;550;MASCULINA;Balance
12/mai;550;MASCULINA;Balance
13/mai;550;MASCULINA;Balance
14/mai;550;MASCULINA;Balance
15/mai;550;MASCULINA;Balance
16/mai;550;MASCULINA;Balance
19/mai;550;CALOI VERMELHA;Balance
20/mai;550;CALOI VERMELHA;Balance
21/mai;550;FAST;Balance
22/mai;550;FAST;Balance
23/mai;550;LOVE;Balance
26/mai;550;LOVE;Balance
27/mai;200;ROSA / MARROM 2022;Balance
27/mai;350;FEMININA;Balance
28/mai;550;FEMININA;Balance
29/mai;550;FEMININA;Balance
30/mai;550;ROCKET ASTRO;Balance
09/mai;750;BOY;Triciclo
12/mai;750;BOY;Triciclo
13/mai;750;BOY;Triciclo
14/mai;750;GIRL;Triciclo
15/mai;750;GIRL;Triciclo
16/mai;750;GIRL;Triciclo
19/mai;750;GIRL;Triciclo
20/mai;750;GIRL;Triciclo
21/mai;750;GIRL;Triciclo
22/mai;750;GIRL;Triciclo
23/mai;750;GIRL;Triciclo
26/mai;750;KIDS 5;Triciclo
27/mai;750;KIDS 5;Triciclo
28/mai;750;PRINCESAS;Triciclo
29/mai;750;SPIDER MAN;Triciclo
30/mai;750;HONEY BEE;Triciclo
08/mai;50;MINNIE;Capacete
09/mai;100;STITCH;Capacete
12/mai;100;TURQUEZA;Capacete
13/mai;100;SPIDERMAN;Capacete
14/mai;100;SPIDERMAN;Capacete
15/mai;100;PRETO;Capacete
16/mai;100;PRINCESAS;Capacete
19/mai;100;AZUL;Capacete
20/mai;100;ROSA ESCURO;Capacete
21/mai;100;MINNIE;Capacete
22/mai;100;UNICORNIO;Capacete
23/mai;100;STITCH;Capacete
26/mai;100;SPIDERMAN;Capacete
27/mai;100;SPIDERMAN;Capacete
28/mai;100;SPIDERMAN;Capacete
29/mai;100;SUPORTE PAREDE;Capacete
30/mai;100;SUPORTE PAREDE;Capacete
